smiles,lgHL
Clc1ccc(c(c1)Cl)c1cc(Cl)c(c(c1)Cl)Cl,4.59
Clc1ccc(c(c1)Cl)c1ccc(c(c1Cl)Cl)Cl,3.88
Clc1ccc(c(c1)Cl)c1c(Cl)cccc1Cl,2.18
Clc1ccc(c(c1)Cl)c1c(Cl)ccc(c1Cl)Cl,3.01
Clc1cc(Cl)c(c(c1)Cl)c1c(Cl)ccc(c1Cl)Cl,3.01
Clc1cccc(c1c1c(Cl)c(Cl)cc(c1Cl)Cl)Cl,3.48
Clc1ccc(c(c1)Cl)c1c(Cl)c(Cl)cc(c1Cl)Cl,3.88
Clc1ccc(c(c1)c1c(Cl)cc(c(c1Cl)Cl)Cl)Cl,3.48
Clc1cccc(c1Cl)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,3.48
Clc1cc(Cl)c(c(c1)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl)Cl,5.08
Clc1c(Cl)ccc(c1Cl)c1cc(Cl)c(c(c1)Cl)Cl,5.21
Clc1ccccc1c1c(Cl)ccc(c1Cl)Cl,2.23
Clc1ccc(cc1)c1cc(Cl)c(c(c1)Cl)Cl,3.87
Clc1cccc(c1)c1cc(Cl)cc(c1Cl)Cl,2.07
Clc1cc(Cl)c(c(c1)c1ccc(c(c1)Cl)Cl)Cl,3.45
Clc1ccc(c(c1)c1cc(Cl)c(c(c1)Cl)Cl)Cl,2.44
Clc1ccc(c(c1)Cl)c1cc(Cl)cc(c1)Cl,3.18
Clc1cccc(c1)c1cc(Cl)c(cc1Cl)Cl,2.28
Clc1ccc(c(c1c1c(Cl)cccc1Cl)Cl)Cl,2.18
Clc1cc(Cl)c(c(c1)c1c(Cl)cccc1Cl)Cl,3.01
Clc1c(Cl)ccc(c1Cl)c1c(Cl)cccc1Cl,3.01
Clc1cccc(c1)c1ccc(c(c1Cl)Cl)Cl,2.04
Clc1ccc(cc1)c1cc(Cl)cc(c1Cl)Cl,3.23
Clc1ccc(cc1)c1cc(Cl)c(c(c1Cl)Cl)Cl,4.99
Clc1ccc(cc1Cl)c1c(Cl)cc(c(c1Cl)Cl)Cl,4.64
Clc1cc(ccc1Cl)c1c(Cl)c(Cl)cc(c1Cl)Cl,5.31
Clc1cc(Cl)c(c(c1c1cc(Cl)c(c(c1)Cl)Cl)Cl)Cl,5.18
Clc1cc(Cl)cc(c1)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,5.22
Clc1cc(Cl)c(c(c1)Cl)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,4.88
Clc1c(Cl)cccc1c1cc(Cl)c(c(c1)Cl)Cl,2.44
Clc1cccc(c1)c1cccc(c1)Cl,0.738
Clc1ccc(cc1)c1ccc(cc1)Cl,1.38
Clc1c(c2c(Cl)c(Cl)c(c(c2Cl)Cl)Cl)c(Cl)c(c(c1Cl)Cl)Cl,5.48
Clc1ccccc1c1ccccc1,1.31
Clc1cccc(c1)c1ccccc1,0.619
Clc1ccc(cc1)c1ccccc1,0.613
Clc1ccc(c(c1)Cl)c1ccc(cc1Cl)Cl,3.48
Clc1ccc(cc1)c1cccc(c1)Cl,1.39
OC(=O)C(c1ccc(c(c1)F)c1ccccc1)C,0.716
Clc1ccc(cc1)c1ccc(cc1Cl)Cl,3.72
Clc1ccccc1c1ccccc1Cl,1.48
Clc1cc(Cl)c(cc1c1ccccc1)Cl,1.99
Clc1cccc(c1c1c(Cl)cccc1Cl)Cl,2.01
Clc1ccc(cc1)c1cc(Cl)ccc1Cl,2.06
Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,1.0
Clc1cccc(c1)c1ccccc1Cl,1.78
Clc1cc(Cl)c(cc1c1ccc(c(c1)Cl)Cl)Cl,4.66
Clc1ccc(c(c1)Cl)c1ccc(c(c1)Cl)Cl,3.2
Clc1ccc(c(c1)c1ccc(c(c1)Cl)Cl)Cl,2.07
Clc1ccc(cc1)c1c(Cl)cc(cc1Cl)Cl,3.48
Clc1ccc(cc1Cl)c1ccc(c(c1)Cl)Cl,2.82
Clc1ccc(cc1Cl)c1ccc(c(c1Cl)Cl)Cl,4.33
