,smiles,lgHL
111,CCC(NCCNC(CO)CC)CO,0.491
112,ClC=C,-1
113,FC(Cl)(Cl)Cl,0.176
114,FC(Cl)(Cl)F,0.176
115,OCC(=O)C12OC(OC1CC1C2(C)CC(O)C2(C1CCC1=CC(=O)C=CC21C)F)(C)C,0.38
116,O=C1CCC2(C34C1Oc1c4c(CC2N(CC3)C)ccc1O)O,0.114
117,COc1ccc2c3c1OC1C43CCN(C(C2)C4(O)CCC1=O)C,0.74
118,O=C1CCC2(C(=C1)CCC1C2(F)C(O)CC2(C1CCC2(C)O)C)C,0.964
119,COc1ccc2c3c1OC1C43CCN(C(C2)C4C=CC1O)C,0.602
120,CCCC(C1(CC)C(=O)NC(=O)NC1=O)C,1.34
121,CCCC(C1(CC)C(=O)NC(=S)NC1=O)C,0.301
122,CCC(=O)C(c1ccccc1)(c1ccccc1)CC(N(C)C)C,1.49
123,Oc1ccc2c(c1)C13CCCCC3C(C2)N(CC1)C,1.13
124,C1CCC(CC1)(N1CCCCC1)c1ccccc1,1.2
125,CCC1(CCC(=O)NC1=O)c1ccccc1,1.04
126,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,1.54
127,CCCCC1(CC)C(=O)NC(=O)NC1=O,1.57
128,O=C1NC(c2c1cccc2)(O)c1ccc(c(c1)S(=O)(=O)N)Cl,1.56
129,OC(c1ccccc1)(C1CCCCC1)CCN1CCCC1,1.08
130,CN1C(=O)CC(C1=O)(C)c1ccccc1,0.301
131,CC1(CC)CC(=O)NC1=O,1.72
132,CCCC(COC(=O)N)(COC(=O)NC(C)C)C,0.903
133,CCC(=O)C,0.0792
134,ClC=C(Cl)Cl,1.6
135,ClC(C(=O)O)Cl,-0.187
136,CC(c1cc(Br)c(c(c1)Br)O)(c1cc(Br)c(c(c1)Br)O)C,2.33
137,CC(c1ccc(cc1)O)(c1ccc(cc1)O)C,0.301
138,Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)N,1.34
139,OCC(=O)C1(O)CCC2C1(C)CC(O)C1C2CC(C2=CC(=O)C=CC12C)C,0.362
140,CCN(CCCC(Nc1c2cc(OC)ccc2nc2c1ccc(c2)Cl)C)CC,2.08
141,CN(CCOC(c1ccccc1C)c1ccccc1)C,1.22
142,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,-0.602
143,CCN1C(=O)NC(C1=O)c1ccccc1,0.778
144,CCN(Cc1cc(ccc1O)Nc1ccnc2c1ccc(c2)Cl)CC,0.813
145,COP(=S)(SCn1nnc2c(c1=O)cccc2)OC,1.48
146,NNc1nncc2c1cccc2,-0.0177
147,O=C(NC1C(=O)N2C1SC(C2C(=O)O)(C)C)COc1ccccc1,-0.0757
148,O=N(=O)OC1COC2C1OCC2ON(=O)=O,0.227
149,Clc1c(Cl)cccc1Cl,1.68
150,Clc1c(O)c(Cl)c(c(c1Cl)Cl)Cl,1.48
151,Nc1ccc(c(c1)C(=O)O)O,-0.215
152,NCCCC(Nc1cc(OC)cc2c1nccc2)C,0.851
153,CNC(C(c1ccccc1)O)C,1.1
154,CCN(C(=O)N1CCN(CC1)C)CC,0.903
155,CN(CCN(c1ccccn1)Cc1cccs1)C,0.204
156,c1ccc(cc1)c1ccccc1,0.278
157,OCC(COc1ccccc1OC)O,0
158,CCCNC(=O)NS(=O)(=O)c1ccc(cc1)Cl,1.66
159,OC(=O)COc1ccc(cc1Cl)Cl,1.52
160,Cc1ccccc1C,1.59
161,CN1CCCCC1C(=O)Nc1c(C)cccc1C,0.301
162,O=N(=O)c1ccccc1,1.78
163,NC(=O)c1cnccn1,0.978
164,CCCC(C(=O)O)CCC,1.08
165,Clc1ccc(cc1)N(=O)=O,2.33
166,Nc1ccc(cc1)N(=O)=O,0.301
167,NC(=N)c1ccc(cc1)OCCCCCOc1ccc(cc1)C(=N)N,1.4
168,CNC(Cc1ccccc1)(C)C,1.24
169,c1ccc(cc1)Oc1ccccc1,1.92
170,CC(=O)Nc1ccc(cc1)O,0.398
171,OCC(COc1ccc(cc1)Cl)O,0.562
172,COCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)c1ccc(cc1)NCCCC,0.74
173,Cc1ccc(cc1)C,1.48
174,NCC(=O)CCC(=O)O,-0.0809
175,Cc1cccc(c1)C,1.52
176,Oc1ccccc1,0.544
177,NC(=N)N,0.875
178,O=C(C1CN(C)C2C(=C1)c1cccc3c1c(C2)c[nH]3)NC1(C)OC2(N(C1=O)C(Cc1ccccc1)C(=O)N1C2CCC1)O,0.322
179,CCC(C#C)(C=CCl)O,1.78
180,CCC(NC(=O)C1CN(C)C2C(=C1)c1cccc3c1c(C2)c[nH]3)CO,0.53
181,COC(=O)C(c1ccccc1)C1CCCCN1,0.681
182,CN(CCC=C1c2ccccc2Sc2c1cc(Cl)cc2)C,1
183,CCC1(C(=O)NC(=O)N(C1=O)C)c1ccccc1,1.53
184,CCC1(C)OC(=O)N(C1=O)C,1.26
185,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O,-0.222
186,CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,-0.125
187,CC(=O)Nc1c(I)c(NC(=O)C)c(c(c1I)C(=O)O)I,0.255
188,OCCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC,2.93
189,Clc1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,4.25
190,O=N(=O)c1ccc(c(c1)N(=O)=O)C,0.301
191,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,1.2
192,CC(Cc1ccccc1)(N)C,1.37
193,O1CCOCC1,-2.41E-16
194,OC(=O)CCCCCCCC(=O)O,-0.125
195,OCC(=O)C1(O)C(O)CC2C1(C)CC(O)C1(C2CCC2=CC(=O)C=CC12C)F,0.166
196,COc1ccc2c3c1OC1C43CCN(C(C2)C4CCC1=O)C,0.327
197,CCC1(C(=O)NCNC1=O)c1ccccc1,1.11
198,CCC1(CC)C(=O)NCC(C1=O)C,1.04
199,COc1ccc2c(c1)C13CCCCC3C(C2)N(CC1)C,0.653
200,CCC1(CCC(=O)NC1=O)c1ccc(cc1)N,1.1
201,COC1=CC(=O)CC(C21Oc1c(C2=O)c(OC)cc(c1Cl)OC)C,1.18
202,C#CC1(CCCCC1)OC(=O)N,0.349
203,NC(=O)NO,0.531
204,OCC(=O)C1(O)CCC2C1(C)CC(O)C1(C2CCC2=CC(=O)CCC12C)F,0.544
205,Nc1ccc(cc1)S(=O)(=O)Nc1onc(c1C)C,0.869
206,OC1CCC2(C(C1)CCC1C2CCC2(C1CCC2C(=O)C)C)C,0.672
207,CN(CCC(c1ccccn1)c1ccc(cc1)Br)C,1.4
208,CN(CCC(c1ccccn1)c1ccc(cc1)Cl)C,1.34
209,CC1NCCOC1c1ccccc1,1.37
210,FC(c1cc2NCNS(=O)(=O)c2cc1S(=O)(=O)N)(F)F,0.716
211,CCN(CC(=O)Nc1c(C)cccc1C)CC,0.204
212,COc1cc(cc(c1OC)OC)C(=O)NCc1ccc(cc1)OCCN(C)C,0.903
213,OC(c1ccccc1)(C1CCCCC1)CCN1CCCCC1,0.602
214,OS(=O)CNc1ccc(cc1)S(=O)(=O)c1ccc(cc1)NCS(=O)O,0.74
215,CC(=O)NS(=O)(=O)c1ccc(cc1)N,0.996
216,Nc1ccc(cc1)S(=O)(=O)Nc1nnc(s1)C,0.74
217,Nc1ccc(cc1)S(=O)(=O)Nc1ccccn1,1
218,O=C1CN=C(c2c(N1)ccc(c2)N(=O)=O)c1ccccc1,1.41
219,COC(=O)C1C(O)CCC2C1CC1N(C2)CCc2c1[nH]c1c2cccc1,-0.222
220,CCOc1ccc2c(c1C(=O)NC1C(=O)N3C1SC(C3C(=O)O)(C)C)cccc2,-0.155
221,CC(C(=O)NC1C(=O)N2C1SC(C2C(=O)O)(C)C)Oc1ccccc1,-0.041
222,OCC1OC(C(C1O)O)n1ccc(nc1=O)N,-0.778
223,c1scc(n1)c1nc2c([nH]1)cccc2,0.0792
224,ClCCN(c1ccc(cc1)CC(C(=O)O)N)CCCl,0
225,CCC#CC(C1(CC=C)C(=O)NC(=O)N(C1=O)C)C,0.204
226,C=CCN1CCC23C(C1Cc1c3cc(cc1)O)CCCC2,0
227,O=C1CCC2(C(=C1)C=CC1C2CCC2(C1CCC2C(=O)C)C)C,0.778
