smiles,lgHL
O=C(C1CCC(CC1)(F)F)NC(c1ccccc1)CCN1C2CCC1CC(C2)n1c(C)nnc1C(C)C,1.2
CN1CC(CC2C1Cc1c[nH]c3c1c2ccc3)C(=O)NC1(C)OC2(N(C1=O)C(Cc1ccccc1)C(=O)N1C2CCC1)O,0.954
CNCCCC12CCC(c3c1cccc3)c1c2cccc1,1.71
ClCCN(P1(=O)NCCCO1)CCCl,0.903
CN1CCN(CC1)c1c(F)cc2c3c1OCC(n3cc(c2=O)C(=O)O)C,0.944
O=C1C(O)CC(N1C)c1cccnc1,0.771
CC1SCC2(O1)CN1CCC2CC1,0.699
O=C(NS(=O)(=O)c1ccc(cc1)C(=O)C)NC1CCCCC1,0.114
Clc1cc(Cl)c(c(c1)c1ccc(c(c1Cl)Cl)Cl)Cl,4.78
Oc1ccc(cc1)CCCCNCC(c1ccc(c(c1)O)O)O,-0.875
CC(Sc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)(Sc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)C,2.41
CCOC(=O)C1C(CC2N(C1CC2)C)OC(=O)c1ccccc1,0.176
CCN1CC(C(C1=O)(c1ccccc1)c1ccccc1)CCN1CCOCC1,0.613
CN1C(=O)CN=C(c2c1ccc(c2)N(=O)=O)c1ccccc1F,1.4
Clc1ccc(c(c1)Cl)c1c(Cl)cc(cc1Cl)Cl,3.78
Cc1ccnc2c1[nH]c(=O)c1c(n2C2CC2)nccc1,1.72
CON=C(c1csc(n1)N)C(=O)NC1C(=O)N2C1SCC(=C2C(=O)O)COC(=O)C,0.0792
O=C1NC(=O)NC1(c1ccccc1)c1ccccc1,1.34
CC1NCCN(C1)c1cc2c(c(c1F)C)c(=O)c(cn2C1CC1)C(=O)O,1.18
ClCCN(C(=O)NC1CCCCC1)N=O,0.195
COc1ccc2c(c1)c(CCNC(=O)C)c[nH]2,-0.15
FCSC(=O)C1(OC(=O)CC)C(C)CC2C1(C)CC(O)C1(C2CC(C2=CC(=O)C=CC12C)F)F,0.778
Clc1ccc(c(c1)Cl)c1cc(Cl)c(cc1Cl)Cl,4.48
Clc1cc2c(cc1Cl)oc1c2cc(Cl)c(c1Cl)Cl,4.71
OCCOc1nc(nc(c1Oc1ccccc1OC)NS(=O)(=O)c1ccc(cn1)C(C)C)c1ccnc(c1)c1nn[nH]n1,0.58
FC(C1(C#CC2CC2)OC(=O)Nc2c1cc(Cl)cc2)(F)F,1.68
OC(c1cc(O)cc(c1)O)CNC(C)C,0.778
Oc1cc(C)c2c3c1C(=O)c1c(O)cc(c4c1c3c1c3c2c(C)cc(c3C(=O)c2c1c4c(O)cc2O)O)O,1.62
CCNC(=O)CCCC=CCC1C(O)CC(C1C=CC(CCc1ccccc1)O)O,-0.125
COc1cc(C)c(c(c1C)C)C=CC(=CC=CC(=CC(=O)O)C)C,1.69
OCC(Cn1ccc(nc1=O)N)OCP(=O)(O)O,0.415
O=C1NC(C(=O)N1c1ccc(c(c1)C(F)(F)F)N(=O)=O)(C)C,1.69
Oc1ccc(cc1)C1C(CCC(c2ccc(cc2)F)O)C(=O)N1c1ccc(cc1)F,1.34
CC(NCC(c1ccc(c(c1)O)O)O)C,-0.387
CCCC(C(=O)O)CCC,1.08
NNC(=O)c1ccncc1,0.0
NC(C(S)(C)C)C(=O)O,0.0
CNNCc1ccc(cc1)C(=O)NC(C)C,-0.778
CC(C(=O)N)NC(=O)N(N=O)CCCl,0.0
Clc1ccc(cc1Cl)c1ccc(c(c1Cl)Cl)Cl,4.33
FC(C(C(C(S(=O)(=O)O)(F)F)(F)F)(F)F)F,2.8
OC(=O)C(Cc1ccc(c(c1)O)O)N,0.114
Clc1ccc(c(c1)Cl)c1ccccc1Cl,2.18
COc1ccc2c(c1)ccc(c2)C(C(=O)O)C,1.18
